artifact_id,path,artifact_type,stage_subtask,purpose,generated_by,input_dependencies,validation_method,validation_status,sha256,required_for_stage2,notes
ART-0017,python/streamer_rf/__init__.py,python,Stage 1.2,analytical lifecycle and radiation chain,Stage 1.2 implementation,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,ffb9621ea548adda5e30779d35681f1164dc7fef9d440948b8782a98c354e40e,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0018,python/streamer_rf/config.py,python,Stage 1.2,analytical lifecycle and radiation chain,Stage 1.2 implementation,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,5d383e2b1fea64dac7d1bca569beb2fbde4e5dde4a5ecf127db13d56d2c41cb7,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0019,python/streamer_rf/esd.py,python,Stage 1.2,analytical lifecycle and radiation chain,Stage 1.2 implementation,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,fa373b8ad6b733a16c107fe89c6f8f8293ca0e4fd2203c15d0f93acd8c29e7b0,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0020,python/streamer_rf/fourier.py,python,Stage 1.2,analytical lifecycle and radiation chain,Stage 1.2 implementation,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,99dff881012e42048f4d8908853cc8628230984ee9dd6d84511552c4ec48ec06,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0021,python/streamer_rf/lifecycle.py,python,Stage 1.2,analytical lifecycle and radiation chain,Stage 1.2 implementation,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,7dec8840ab6a7ba8d7c58bd2ce75807b106c410f16e5fcaf952482cfa49c90d4,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0022,python/streamer_rf/plotting.py,python,Stage 1.2,analytical lifecycle and radiation chain,Stage 1.2 implementation,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,e0bc92efcbb7b09b643e7f8c4f245986b5ce67c7f5899fb8a12f72e81eb7369d,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0023,results/stage_A2/data/band_energy_summary.csv,csv,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,305861f6d43b2c42e9b9b554aeb83cc4fbe43a7229a4e3c5f190fba8097227cf,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0024,results/stage_A2/data/esd_analytic_all_cases.csv,csv,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,d1b033f1e15d0440be59d59c43af643a448e1fdf266720a8cdd0e4fc711b0e47,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0025,results/stage_A2/data/lifecycle_all_cases.csv,csv,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,52000031e7aa9dc175167031f6c40aa350d9a958d042fb7325cf7b11d1692208,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0026,results/stage_A2/data/lifecycle_primary.csv,csv,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,ea85899014a0249ce042b54c51528fba6792478d9254a4f887e7b763eee8ba8b,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0027,results/stage_A2/data/spectrum_analytic_all_cases.csv,csv,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,c9bbe0a987edac35ec6942606f85e4ae8a0fe88d2103662dad3bb2d2ed93ea7d,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0028,results/stage_A2/figures/esd_analytic_cases.pdf,figure_pdf,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,8fe5edb3af0488ccdedadfc6f82f7a899beeebaa90fedfd038010939d0bcc566,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0029,results/stage_A2/figures/esd_analytic_cases.png,figure_png,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,972e7e628e2c7fdcaebe532f3047196981ef81ea1c1717bed2460c832fb031c2,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0030,results/stage_A2/figures/fft_vs_analytic_validation.pdf,figure_pdf,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,3e660c39e5ddf2666137a603f584c6e60f916bdb90bcb286d450a37c18a2338f,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0031,results/stage_A2/figures/fft_vs_analytic_validation.png,figure_png,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,594b2bb83adcda199ed3498d5d76207da3c7127a35f555eaef027e869bcc7712,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0032,results/stage_A2/figures/figure3_I0_conflict_comparison.pdf,figure_pdf,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,32983bdf83cfac80584e16b4a8d7072bef834ff79a898b789a7724223cc04159,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0033,results/stage_A2/figures/figure3_I0_conflict_comparison.png,figure_png,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,1cd2460f0ab05d2530bc0be5a9558d16bf1a178e9222209d1e6b496fcd8cf7ba,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0034,results/stage_A2/figures/figure3a_lifecycle_primary.pdf,figure_pdf,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,9ab075a0dbad2d00511f65cd45175e69194153024d1d2ab4cf2a3ea127fba3f5,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0035,results/stage_A2/figures/figure3a_lifecycle_primary.png,figure_png,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,cbaab430dfb0a3227981971d8e4948ffe5ebb30ff1acb168b8df6f30b5e6d7bd,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0036,results/stage_A2/figures/figure3b_derivative_primary.pdf,figure_pdf,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,1b4d95f2f6d2287ed20b47f52a53464fe051816243bbcd16e4a1b5bd687aece5,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0037,results/stage_A2/figures/figure3b_derivative_primary.png,figure_png,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,5cc178288f087ad49a5c0ce6907b8e7b21c8c6b5e844b49f40e5b96a2d3ee2d4,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0038,results/stage_A2/figures/figure4a_analytic_model_curves.pdf,figure_pdf,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,26be71c679168f29376ae02d32d93863492f2de31840fffd421929c86b56478e,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0039,results/stage_A2/figures/figure4a_analytic_model_curves.png,figure_png,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,2510f2c2cf654db19640ea6b20d45eaaaf3e395958158266990453a1426bb921,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0040,results/stage_A2/summary.json,json,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,7c081ffd70a9366998c61740706610a975f2981393fefed27a037eb072b32b06,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0041,results/stage_A2/validation/I0_conflict_metrics.csv,csv,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,44a35218b0054375a5a4516d3ab02ad93e3b90452a5a1840c3b97b017161d572,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0042,results/stage_A2/validation/fft_validation.csv,csv,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,336234009bd06c358e26039d2eb1c3300d5384d916b2078eca0aed760669f5a7,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0043,results/stage_A2/validation/fourier_validation.csv,csv,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,d74be508626e5112ed45cc583e4c08501b9172e6b1eb95d7d1a1bd34273c5045,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0044,results/stage_A2/validation/peak_parameter_check.csv,csv,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,c3bc4bf695259f24cf3743b9cdb42ba34c5a3dbce6173e7a85e8b593a282e4fa,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0045,results/stage_A2/validation/summary.json,json,Stage 1.2,validated analytical baseline output,python/reproduce_stage_A2.py,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,7c081ffd70a9366998c61740706610a975f2981393fefed27a037eb072b32b06,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0046,tests/test_esd.py,python,Stage 1.2,analytical lifecycle and radiation chain,Stage 1.2 implementation,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,b1270d11f87226063915441d094866f07e028a1661ce8e321367653555add9da,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0047,tests/test_fourier.py,python,Stage 1.2,analytical lifecycle and radiation chain,Stage 1.2 implementation,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,0ee481c78956b3ebe5f92aadee6f8ba363fc54deb28117b0ce37c17316adf469,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0048,tests/test_lifecycle.py,python,Stage 1.2,analytical lifecycle and radiation chain,Stage 1.2 implementation,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,f1c3defd51fb69070c46847600d3d2036e92bcb852e80524d2a3f0b3d3c9885d,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0049,tests/test_stage_A2_regression.py,python,Stage 1.2,analytical lifecycle and radiation chain,Stage 1.2 implementation,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,f0847c618dc0e2988363443271c8ea665998c4a77de3238e3a795a16c1712358,no,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0050,tools/validate_registry.py,python,Stage 1.1,registry and model audit,Stage 1.1 audit task,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,99da32fbc42daac9acaefb661844cc10c34f39277713c002d4b50961f280aa0f,yes,Frozen Stage 1 baseline; manifest intentionally excludes itself.
ART-0051,tools/validate_stage1_closure.py,python,Stage 1.3,"closure, freeze, and handoff",Stage 1.3 closure task,local literature and frozen Stage 1 configuration,SHA256 and closure validator,validated,b7dd4e244145aaf2e234ce00f51bab70d4d31e7b6c8c1cab45c7836a8d854185,yes,Frozen Stage 1 evidence checks with lifecycle-aware exclusion of later-stage source trees; manifest intentionally excludes itself.
